freq,amp_thresh,goer_thresh,acc,precision,recall,f1,specificity,tp,tn,fp,fn
48422.50237249679,0.00026350136035793395,7.467231003568727e-06,0.463,0.463,1.0,0.632946001367054,0.0,463,0,537,0
53450.3520833155,0.0008245473179762734,3.891521662433848e-06,0.481,0.4804804804804805,1.0,0.6490872210953347,0.0019230769230399408,480,1,519,0
59903.443846112095,0.00030367328737131253,8.379202125583207e-06,0.523,0.5225225225225225,1.0,0.6863905325443787,0.002092050209161254,522,1,477,0
56050.451904222224,0.0004938992797133974,6.371484154440444e-06,0.516,0.5150300601202404,1.0,0.6798941798941799,0.004115226337363884,514,2,484,0
56275.06463229519,0.0004758000207051782,6.267733776703103e-06,0.5,0.4979919678714859,1.0,0.6648793565683646,0.007936507936350467,496,4,500,0
55585.92491600762,0.0004376685421649188,2.7572427220427474e-06,0.512,0.5095477386934674,1.0,0.6750998668442078,0.010141987829408885,507,5,488,0
43172.08351743181,0.0006029038245037614,3.1112858370768966e-06,0.479,0.479,1.0,0.6477349560513861,0.0,479,0,521,0
56423.82150421779,0.0004120626780107128,6.89976968825795e-06,0.491,0.4904904904904905,1.0,0.6581598388179987,0.0019607843136870435,490,1,509,0
55971.40487625538,0.00020098165543847339,9.83996096854933e-06,0.499,0.4974924774322969,1.0,0.6644340254521098,0.0059523809522628495,496,3,501,0
50307.34136202974,0.00020233995801607652,9.526343479946222e-06,0.513,0.513,1.0,0.6781229345670853,0.0,513,0,487,0
57048.666550954615,0.00033593134709739036,1.8824732894703699e-06,0.539,0.5385385385385385,1.0,0.7000650618087183,0.002164502164455314,538,1,461,0
47924.79370854784,0.0002289879185475025,4.087677432403556e-06,0.477,0.477,1.0,0.6459038591740014,0.0,477,0,523,0
54890.515969525404,0.00015480715761662908,8.736761327545598e-06,0.485,0.4834503510531595,1.0,0.651791751183232,0.0057915057913939865,482,3,515,0
51670.52989326167,0.0009397189452346847,2.478697106580441e-06,0.474,0.474,1.0,0.6431478968792401,0.0,474,0,526,0
43257.341350753726,0.00013153694739153525,6.356152428467845e-06,0.514,0.514,1.0,0.678996036988111,0.0,514,0,486,0
57913.13800276403,0.0011462503779253556,9.995524536114503e-06,0.519,0.5170682730923695,1.0,0.6816677696889477,0.008247422680242322,515,4,481,0
57371.05704192534,0.000998108492902781,3.2411727658697014e-06,0.507,0.507,1.0,0.6728599867285998,0.0,507,0,493,0
55062.12608269892,0.0011815126373879638,8.138331650907997e-06,0.486,0.4844533600802407,1.0,0.6527027027027027,0.005802707930255267,483,3,514,0
58100.566403759294,0.0006500753886765019,9.66635558767656e-06,0.509,0.5075225677031093,1.0,0.6733200266134398,0.006072874493804193,506,3,491,0
57946.970322087276,0.0006941788355865175,7.574785056153538e-06,0.492,0.48893360160965793,1.0,0.6567567567567567,0.011673151750745658,486,6,508,0
58206.51117568795,0.00044086614375147436,7.871180021810855e-06,0.508,0.508,1.0,0.6737400530503979,0.0,508,0,492,0
57614.78630924057,0.0007031342838411807,7.114950920608548e-06,0.482,0.48096192384769537,1.0,0.6495263870094723,0.0038461538460798817,480,2,518,0
51403.16897908278,0.000564118873750581,4.926524081391105e-06,0.505,0.5045045045045045,1.0,0.6706586826347305,0.002016129032217417,504,1,495,0
59884.110598440624,0.0006169238470443268,9.861024886530985e-06,0.507,0.5060120240480962,1.0,0.6719893546240852,0.004040404040322416,505,2,493,0
38482.06336003226,0.0007296436160308182,3.6452013767413548e-06,0.49,0.49,1.0,0.6577181208053692,0.0,490,0,510,0
52926.70910092566,0.0003482463428550795,1.6168876216372322e-06,0.498,0.498,1.0,0.664886515353805,0.0,498,0,502,0
49935.75500611289,0.0009230400140861016,8.513181940868756e-06,0.502,0.5015015015015015,1.0,0.668,0.002004008015991904,501,1,498,0
54648.198385403164,0.002126258492749323,6.458307748908919e-06,0.499,0.49799599198396793,1.0,0.6648829431438127,0.003976143141074033,497,2,501,0
56807.4729218693,0.0011548523574674864,6.0452231286120256e-06,0.511,0.5090361445783133,1.0,0.6746506986027944,0.008113590263527107,507,4,489,0
58265.07750055642,0.0004844500147849972,7.502619440961203e-06,0.512,0.5110220440881763,1.0,0.6763925729442971,0.004081632652977926,510,2,488,0
56210.001667560166,0.0016605393639802912,5.534567880937325e-06,0.502,0.501002004008016,1.0,0.6675567423230975,0.00399999999992,500,2,498,0
58071.580937886094,0.0011460656758311885,4.2334077706739155e-06,0.497,0.497,1.0,0.663994655978624,0.0,497,0,503,0
52312.02058970327,0.0012476384822395577,1.0394712871632515e-06,0.501,0.501,1.0,0.6675549633577615,0.0,501,0,499,0
47222.53725540446,0.0007710791152475267,4.621089655092396e-06,0.471,0.471,1.0,0.6403806934058464,0.0,471,0,529,0
54764.7354117397,0.0010423123009467641,8.642903378700926e-06,0.497,0.4964964964964965,1.0,0.6635451505016723,0.0019841269840876166,496,1,503,0
58179.85511026472,0.0006395162548655626,5.758055740291623e-06,0.482,0.48148148148148145,1.0,0.65,0.001926782273565958,481,1,518,0
59924.177322583506,0.0008796365177417299,2.609647832000528e-06,0.495,0.4939879759519038,1.0,0.6613011401743796,0.0039447731754646,493,2,505,0
54031.910933603416,0.0016242493304381147,5.90688252899665e-06,0.519,0.519,1.0,0.6833443054641212,0.0,519,0,481,0
56203.43107531011,0.0004436898919821296,6.939960726303849e-06,0.47,0.4684052156469408,1.0,0.6379781420765027,0.005628517823534174,467,3,530,0
52868.97859294018,0.000383932328588292,5.265537471672628e-06,0.502,0.5015015015015015,1.0,0.668,0.002004008015991904,501,1,498,0
49686.71018115036,0.0005497082747496731,9.984342699528025e-06,0.519,0.5185185185185185,1.0,0.6829268292682927,0.0020746887966374547,518,1,481,0
56705.87695751889,0.002020954333158561,7.919878226572655e-06,0.499,0.4984984984984985,1.0,0.6653306613226453,0.0019920318724702783,498,1,501,0
54398.477037219636,0.0012977590820753612,6.620240826668947e-06,0.486,0.4849699398797595,1.0,0.6531713900134952,0.0038759689921729463,484,2,514,0
58964.5518682918,0.0002824467402151852,8.751114263605986e-06,0.496,0.4939759036144578,1.0,0.6612903225806451,0.007874015747876495,492,4,504,0
58900.02640714147,0.00026607503991148677,8.799527593710482e-06,0.505,0.5040080160320641,1.0,0.670219853431046,0.004024144869134323,503,2,495,0
